checked_at,date,slot,remaining,is_full
2026-08-13T08:14:49.295Z,2026-08-13,"午後試験（受付時間　11:00）従来の免許証 残り　9名",9,0
2026-08-13T09:36:00.724Z,2026-08-13,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-13T09:36:00.724Z,2026-08-13,"午後試験（受付時間　11:00）従来の免許証 残り　9名",9,0
2026-08-13T10:42:24.873Z,2026-08-13,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-13T10:42:24.873Z,2026-08-13,"午後試験（受付時間　11:00）従来の免許証 残り　9名",9,0
2026-08-13T11:31:25.564Z,2026-08-13,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-13T11:31:25.564Z,2026-08-13,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-13T12:28:19.386Z,2026-08-13,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-13T12:28:19.386Z,2026-08-13,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-13T14:00:33.985Z,2026-08-13,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-13T14:00:33.985Z,2026-08-13,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-13T15:07:06.410Z,2026-08-13,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-13T15:07:06.410Z,2026-08-13,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-13T16:08:41.568Z,2026-08-13,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-13T16:08:41.568Z,2026-08-13,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-13T17:11:45.740Z,2026-08-13,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-13T17:11:45.740Z,2026-08-13,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-13T18:08:12.054Z,2026-08-13,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-13T18:08:12.054Z,2026-08-13,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-13T19:18:45.181Z,2026-08-13,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-13T19:18:45.181Z,2026-08-13,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-13T20:02:43.242Z,2026-08-13,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-13T20:02:43.242Z,2026-08-13,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-13T20:56:44.238Z,2026-08-13,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-13T20:56:44.238Z,2026-08-13,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-13T21:50:01.998Z,2026-08-13,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-13T21:50:01.998Z,2026-08-13,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-13T22:27:34.860Z,2026-08-13,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-13T22:27:34.860Z,2026-08-13,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-13T23:13:44.289Z,2026-08-13,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-13T23:13:44.289Z,2026-08-13,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-13T23:13:44.289Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　1名",1,0
2026-08-13T23:13:44.289Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-14T00:01:58.352Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　2名",2,0
2026-08-14T00:01:58.352Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-14T02:38:43.945Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　3名",3,0
2026-08-14T02:38:43.945Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　1名",1,0
2026-08-14T04:28:12.121Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　3名",3,0
2026-08-14T04:28:12.121Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　3名",3,0
2026-08-14T06:00:05.784Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　3名",3,0
2026-08-14T06:00:05.784Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　5名",5,0
2026-08-14T07:44:24.455Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　3名",3,0
2026-08-14T07:44:24.455Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　7名",7,0
2026-08-14T08:50:02.879Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-14T08:50:02.879Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　7名",7,0
2026-08-14T09:47:52.368Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-14T09:47:52.368Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　7名",7,0
2026-08-14T10:44:02.175Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-14T10:44:02.175Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　7名",7,0
2026-08-14T11:32:07.224Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-14T11:32:07.224Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-14T12:26:01.418Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-14T12:26:01.418Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-14T13:54:22.311Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-14T13:54:22.311Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-14T14:47:18.405Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-14T14:47:18.405Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-14T15:38:12.350Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-14T15:38:12.350Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-14T16:30:28.092Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-14T16:30:28.092Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-14T17:32:51.735Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-14T17:32:51.735Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-14T18:29:02.784Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-14T18:29:02.784Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-14T19:31:50.836Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-14T19:31:50.836Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-14T20:06:36.466Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-14T20:06:36.466Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-14T20:43:05.295Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-14T20:43:05.295Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-14T21:04:13.680Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-14T21:04:13.680Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
2026-08-14T21:37:00.308Z,2026-08-14,"午前試験（受付時間　 8:00）従来の免許証 残り　0名",0,1
2026-08-14T21:37:00.308Z,2026-08-14,"午後試験（受付時間　11:00）従来の免許証 残り　0名",0,1
